Species,Reserva El Copal (Tausito),PN Tapanti--Sector Tapanti,Hotel Quelitales,Hotel Bougainvillea,HOTEL GEMA DEL BOSQUE,"PN Los Quetzales--KM 76, Providencia road",San Gerardo de Dota,Max Freq,Tax Sort
Spotted Antbird,13.28,0.5102,0.0,0.0,0.0,0.0,0.0,13.28,13966.0
Ocellated Antbird,2.34,0.0,0.0,0.0,0.0,0.0,0.0,2.34,13997.0
Scaled Antpitta,1.56,4.08,28.13,0.0,0.0,0.0,0.463,28.13,14071.0
Thicket Antpitta,17.19,0.0,0.0,0.0,0.0,0.0,0.0,17.19,14174.0
Ochre-breasted Antpitta,6.25,8.17,2.01,0.0,0.0,0.0,0.0,8.17,14191.0
Silvery-fronted Tapaculo,0.7812,22.97,8.6,0.0,0.0,17.21,4.17,22.97,14296.0
Black-faced Antthrush,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.56,14333.0
Black-headed Antthrush,10.16,0.0,0.0,0.0,0.0,0.0,0.0,10.16,14348.0
Rufous-breasted Antthrush,0.7812,4.6,0.5731,0.0,0.0,0.0,0.0,4.6,14351.0
Middle American Leaftosser,14.07,3.06,5.16,0.0,0.0,0.0,0.0,14.07,14385.0
Olivaceous Woodcreeper,21.13,10.21,12.03,0.0,0.0,0.0,0.0,21.13,14463.0
Ruddy Woodcreeper,7.81,1.02,0.2865,0.0,0.0,0.0,0.0,7.81,14503.0
Plain-brown Woodcreeper,8.6,1.03,0.0,0.0,0.0,0.0,0.0,8.6,14512.0
Wedge-billed Woodcreeper,13.28,40.32,3.44,0.0,0.0,0.0,0.0,40.32,14531.0
Northern Barred-Woodcreeper,4.69,0.0,0.0,0.0,0.0,0.0,0.0,4.69,14555.0
Black-banded Woodcreeper,0.0,2.05,0.0,0.0,0.0,0.0,0.0,2.05,14571.0
Cocoa Woodcreeper,3.12,0.5102,0.0,0.0,0.0,0.0,0.0,3.12,14670.0
Spotted Woodcreeper,33.62,24.49,4.3,0.0,0.0,0.0,0.9259,33.62,14706.0
Brown-billed Scythebill,20.33,7.15,1.72,0.0,0.0,0.0,0.0,20.33,14758.0
Streak-headed Woodcreeper,13.29,3.06,10.03,0.0959,0.0,0.0,0.0,13.29,14767.0
Spot-crowned Woodcreeper,0.0,1.53,0.2865,0.0,37.04,22.25,34.8,37.04,14787.0
Northern Plain-Xenops,24.22,2.55,4.01,0.0,0.0,0.0,0.0,24.22,14819.0
Streaked Xenops,2.35,10.71,2.58,0.0,0.0,0.0,3.25,10.71,14832.0
